image,kontext_images,prompt
viz_samples/1419432_134139_卧室_with_furn.png,viz_samples/1419432_134139_卧室_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom."
viz_samples/1419432_137808_卧室_with_furn.png,viz_samples/1419432_137808_卧室_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom."
viz_samples/1419432_141648_厨房_with_furn.png,viz_samples/1419432_141648_厨房_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: kitchen."
viz_samples/1419432_1836281_卧室_with_furn.png,viz_samples/1419432_1836281_卧室_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom."
viz_samples/1419432_13190320_客餐厅_with_furn.png,viz_samples/1419432_13190320_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room."
viz_samples/1419432_13270781_卫生间_with_furn.png,viz_samples/1419432_13270781_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom."
viz_samples/1540780_885846_客卫_with_furn.png,viz_samples/1540780_885846_客卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasizes functionality and hygiene, with emphasis on dry and wet separation in order to maintain cleanliness."
viz_samples/1540780_3428005_阳台_with_furn.png,viz_samples/1540780_3428005_阳台_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: balcony."
viz_samples/1540780_8663669_主卫_with_furn.png,viz_samples/1540780_8663669_主卫_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom. feature: The bathroom emphasizes functionality and hygiene, with emphasis on dry and wet separation in order to keep space clean."
viz_samples/1540780_12474572_次卧_with_furn.png,viz_samples/1540780_12474572_次卧_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bedroom. feature: Undercover is designed for children's houses, balancing learning with play."
viz_samples/1540780_12475395_客餐厅_with_furn.png,viz_samples/1540780_12475395_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room. feature: The public area pursues a sense of common food as a whole, with an overall preference for bright, tender, light wood stripes and grey rice."
viz_samples/1570801_12888_卫生间_with_furn.png,viz_samples/1570801_12888_卫生间_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: bathroom."
viz_samples/1570801_18727_客餐厅_with_furn.png,viz_samples/1570801_18727_客餐厅_no_furn.png,"2D semantic segmentation map, top-down floorplan, simple solid color blocks. room: living_dining_room."
