image,edit_image,prompt
/share/home/202230550120/extracted_images_col20/edited_image_2939150.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2939150_floorplan.png,1. 拆除厨房与客厅之间的非承重隔墙，将封闭式厨房改为开放式。 2. 拆除客餐厅南侧（下方）3.80㎡小房间与客厅的隔墙，将其并入公共区域。 3. 将北侧卫生间（2.29㎡）与相邻房间（3.97㎡）的非承重墙体打通，重组为一个带独立上下水的宠物多功能室。 4. 拆除次卧与主卧之间的部分非承重墙，改为双动线门洞或打通，构建超大套房系统。
/share/home/202230550120/extracted_images_col20/edited_image_2961887.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2961887_floorplan.png,1. 拆除次卧（10.31㎡）与客餐厅之间的非承重墙体，将其并入公共区域。 2. 封闭次卧原有的房门，将客卫（3.46㎡）的门洞方向调整为朝向过道或旋转90度。 3. 拆除厨房与餐厅之间的非承重隔墙，改造成开放式或半开放式结构。 4. 封闭主卧进入主卫的原始门洞，将主卫向走廊方向适度扩展，并重新开设主卧套间入口。
/share/home/202230550120/extracted_images_col20/edited_image_2962054.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2962054_floorplan.png,1. 拆除书房（10.25㎡）与客餐厅之间的非承重隔墙，将原书房空间并入公共区域； 2. 拆除书房与原卫生间/盥洗室之间的非承重墙，并向北侧书房原区域移动，通过借位重组，将原书房转化为开放式书房或多功能区； 3. 将厨房与客餐厅之间的隔墙拆除，改为开放式或半开放式布局，并向餐厅方向延伸西厨导台； 4. 封闭原主卧南侧门洞，改由原客卫区域进入，将主卧、客卫及原书房的部分空间进行整合，构筑包含衣帽间、双台盆卫浴的五星级主卧小套房。
/share/home/202230550120/extracted_images_col20/edited_image_2962627.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2962627_floorplan.png,1. 拆除厨房与客厅之间的非承重隔墙，将厨房改为开放式并向北侧房间（5.69㎡）延伸，合并为一体化餐厨空间。 2. 拆除玄关与客厅之间的非承重隔墙，同时封堵原有进入北侧次卧（6.45㎡）的门洞，改从玄关内部侧向开门。 3. 将中间卫生间（3.87㎡）与相邻次卧（6.45㎡）的部分非承重墙体向卧室方向微调，扩大卫生间面积以实现彻底的干湿分离。 4. 在客厅（51.17㎡）南侧靠近阳台区域，利用轻质隔墙或玻璃隔断划分出一个多功能半开放区域。
/share/home/202230550120/extracted_images_col20/edited_image_2962662.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2962662_floorplan.png,1. 拆除书房（8.05㎡）与客餐厅之间的非承重隔墙及门洞。 2. 拆除厨房与餐厅之间的隔墙，将原厨房入口封闭，改由书房一侧或完全开放。 3. 拆除次卧入口处不规则的非承重墙体，将次卧门洞向南侧平移。 4. 封闭主卫原有的门洞，从主卧内部重新开门，形成独立套间。
/share/home/202230550120/extracted_images_col20/edited_image_2962763.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2962763_floorplan.png,1. 拆除客餐厅与南向次卧（10.07㎡）之间的非承重隔墙，将原次卧并入公区。 2. 拆除北侧走廊入口处及干区（1.67㎡）周围的非承重窄墙，打通公区与私域的视觉界限。 3. 封闭主卧原房门，改从北侧次卧（7.11㎡）区域进出，并拆除这两室之间的非承重隔墙。 4. 封闭原主卫南向门洞，向北移动主卫隔墙，并重新规划进门动线。
/share/home/202230550120/extracted_images_col20/edited_image_2962859.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2962859_floorplan.png,1. 拆除客餐厅与次卧之间的非承重墙体。  2. 将原主卫墙体向主卧内推，缩小卫浴面积，并在其外侧新建一组L型半开放式矮柜隔断。  3. 拆除厨房与客餐厅之间的非承重隔墙，改造成开放式厨房，并向内平移书房门洞位置。  4. 将阳台与客厅之间的推拉门拆除，地面做通铺处理。
/share/home/202230550120/extracted_images_col20/edited_image_2962982.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2962982_floorplan.png,1. 拆除厨房与客厅之间的隔墙，将封闭式厨房改为开放式； 2. 拆除书房（7.16m²）与走道之间的非承重墙，向客餐厅方向敞开； 3. 封闭次卧（8.37m²）原有的向左开启的门洞，改从客餐厅一侧开门； 4. 将主卫（4.13m²）与主卧之间的非承重墙内缩，腾出空间在走廊末端设置嵌入式家政/宠物清理柜。
/share/home/202230550120/extracted_images_col20/edited_image_2963120.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2963120_floorplan.png,1. 拆除客餐厅与次卧（12.41㎡）之间的非承重隔墙，并将次卧门洞封堵。 2. 将厨房向入户玄关方向适度延伸新建墙体，并把厨房门改为透明玻璃推拉门。 3. 在主卧与南侧阳台之间增加门洞或改为落地窗连接，并拆除主卧内部原有的冗余隔墙。 4. 将位于走廊顶端的储物间（2.51㎡）门洞位置调整，使其与公卫形成更紧凑的动线关系。
/share/home/202230550120/extracted_images_col20/edited_image_2963196.png,/share/home/202230550120/diffusers/scripts_custom/full_floorplans_no_furniture/floor_plans_png/2963196_floorplan.png,1. 拆除厨房与客厅之间的隔墙（保留必要管道柱体），将封闭式厨房改为开放式，并向门厅方向适度延伸操作台面。 2. 拆除次卧与卫生间（1.93㎡）之间的非承重隔墙，将原本细碎的小卫生间并入次卧空间或作为公共走道的收纳壁橱。 3. 封堵主卧原始门洞，将主卧入口向客餐厅方向平移，并利用主卧内部 30.61㎡ 的宽大空间，新建轻质隔墙划分出独立的衣帽间区域。 4. 拆除书房（9.82㎡）与客餐厅之间的部分非承重墙，改为玻璃折叠门或半开放式矮墙设计。
