image,edit_image,prompt
/share/home/202230550120/extracted_images_col20/edited_image_1540780.png,/share/home/202230550120/extracted_images_col5/edited_image_1540780.png,1. 拆除主卧（左侧23.33㎡大开间）内部所有非承重隔断，将其划分为一个套房卧室加一个独立书房/次卧。 2. 将客卫（3.30㎡）向客厅方向适度扩容，并改为三分离设计。 3. 拆除玄关入口与客餐厅之间的非承重遮挡，利用原有3.46㎡小房间改造成独立的储藏室/入户衣帽间。 4. 在客餐厅大空间（42.88㎡）的北侧靠窗位置通过玻璃隔断或半墙新建一个多功能茶室或老人休息区。
/share/home/202230550120/extracted_images_col20/edited_image_1820838.png,/share/home/202230550120/extracted_images_col5/edited_image_1820838.png,1. 拆除厨房与客厅之间的非承重隔墙，将厨房改为开放式，并向过道方向适度外扩。 2. 拆除次卧（11.26㎡）与客厅之间的部分隔墙，将门洞位置外移，并在次卧与客厅交界处新建双面收纳墙。 3. 将主卧卫生间（5.38㎡）的入口方向由正对床头改为侧向开启，并利用主卧入口过道空间新建整排嵌入式衣帽柜。 4. 封闭洗衣房（4.07㎡）原北向门洞，改从客厅侧向开门，并将洗衣房与南向大阳台的连接处做通透处理。
/share/home/202230550120/extracted_images_col20/edited_image_1872162.png,/share/home/202230550120/extracted_images_col5/edited_image_1872162.png,1. 拆除客厅与南向次卧（9.14㎡）之间的隔墙，将原次卧空间并入公区。 2. 封堵原主卫进入主卧的门洞，拆除主卫与北向次卧（10.56㎡）之间的非承重墙，将北向次卧改造为超大步入式衣帽间，并从主卧内部重新开门连通。 3. 拆除厨房（入户左侧区域）的封闭隔墙，改为开放式或半开放式布局。 4. 调整南向次卧原门洞位置，使其墙面与电视背景墙或储物柜体平齐，形成完整的客餐厅大横厅视觉。
/share/home/202230550120/extracted_images_col20/edited_image_2158503.png,/share/home/202230550120/extracted_images_col5/edited_image_2158503.png,1. 拆除 16.79㎡ 主卧与 52.87㎡ 客厅之间的非承重隔墙，并将主卧门洞向左平移。 2. 拆除右上角 4.80㎡ 房间与客厅之间的隔墙及门洞，将其改造为完全开放式空间。 3. 拆除右侧 9.64㎡ 与 8.72㎡ 两个次卧之间的水平隔墙，合并为一间大套房，并封堵原 8.72㎡ 房间的门洞。 4. 在右下角 1.17㎡ 与 3.28㎡ 区域新建轻质隔墙，通过干湿分离布局优化卫浴动线。
/share/home/202230550120/extracted_images_col20/edited_image_2177259.png,/share/home/202230550120/extracted_images_col5/edited_image_2177259.png,1. 拆除客厅与南侧阳台（7.67㎡）之间的非承重隔墙及门洞，将阳台纳入室内。 2. 拆除位于户型中心处 2.30㎡ 小房间的非承重L型隔墙，将其改造为全开放式多功能区。 3. 在主卧（14.65㎡）与北侧小房间（3.36㎡）之间的非承重墙处开洞或拆除，将小房间并入主卧。 4. 封闭原北侧 6.71㎡ 房间朝向走廊的门洞，改从客餐厅区域侧方进入，并微调墙体位置以优化动线。
/share/home/202230550120/extracted_images_col20/edited_image_2219402.png,/share/home/202230550120/extracted_images_col5/edited_image_2219402.png,1. 拆除客厅与南侧次卧（5.14㎡房间）之间的非承重隔墙，将两处空间连通。 2. 拆除北侧厨房与餐厅之间的非承重墙体，并将原有厨房门洞扩大，改造成开放式或半开放式空间。 3. 封闭主卧原始房门，拆除主卫与北侧小次卧（5.97㎡次卧）之间的部分非承重墙，将主卧、主卫与该次卧合并。 4. 调整客卫门洞位置，使其开口朝向玄关/过道侧面而非直对公共区域。
/share/home/202230550120/extracted_images_col20/edited_image_2226333.png,/share/home/202230550120/extracted_images_col5/edited_image_2226333.png,1. 拆除玄关与书房、玄关与走廊之间的非承重隔墙，将原本局促的玄关区域向北侧书房延伸，并新建 L 型隔墙形成独立的外置换鞋区与收纳区。 2. 拆除主卧与衣帽间、原本 5.37㎡ 卫浴之间的隔墙，重新规划主卧套间入口，并将衣帽间与卫浴空间合并重组，缩小冗余的过道面积。 3. 封闭次卧 2 原有的走廊开门，在次卧 1 与次卧 2 之间的非承重墙位置新开门洞或调整墙体，将南侧两个卧室整合为双卧大套间或紧邻的尊辈房区域，并扩建南侧共用的 2.74㎡ 及 4.97㎡ 卫生间区域，合并为一个宽敞的干湿分离三通卫生间。 4. 在 85.10㎡ 的大客厅北侧（靠近主卧处）新建半开放式或通透式隔断，划分出一个多功能茶室或老人休闲区，同时保留通往景观阳台的完整动线。
/share/home/202230550120/extracted_images_col20/edited_image_2269631.png,/share/home/202230550120/extracted_images_col5/edited_image_2269631.png,1. 拆除位于户型中央的 6.62㎡ 房间与 1.43㎡ 小间的非承重隔墙，将其并入 100.16㎡ 的核心公共区。 2. 封堵 18.52㎡ 房间原向北开启的房门，改从西侧（靠近大厅处）新开门洞，并拆除其内部 4.36㎡ 小间的隔墙，合并为大套间。 3. 拆除 8.44㎡ 与 3.93㎡ 房间之间的非承重墙体，合并为一间宽敞的卧室。 4. 拆除入户右侧 3.91㎡、2.16㎡ 及 4.02㎡ 区域之间细碎的非承重分隔墙，重构为独立的干湿分离卫浴系统及玄关家政柜位。
/share/home/202230550120/extracted_images_col20/edited_image_2290734.png,/share/home/202230550120/extracted_images_col5/edited_image_2290734.png,1. 拆除客厅与南向次卧（14.34㎡）之间的隔墙，将原本封闭的次卧纳入公共区域。 2. 封堵北侧次卧（13.41㎡）原有门洞，利用走廊空间向西新建隔墙，将其与北侧卫生间（2.98㎡/1.89㎡区域）整合为套房体系。 3. 拆除入户右手边小房间（5.06㎡）与主卧（15.54㎡）之间的部分非承重墙，在主卧内部建立步入式衣帽间通道。 4. 优化厨卫区域非承重隔墙，将原本细碎的1.89㎡空间与2.98㎡空间合并，做干湿分离处理。
/share/home/202230550120/extracted_images_col20/edited_image_2313374.png,/share/home/202230550120/extracted_images_col5/edited_image_2313374.png,1. 拆除 28.94㎡ 客厅与右侧 4.71㎡ 房间之间的斜向非承重隔墙及门洞；2. 拆除中心区域 3.46㎡ 房间与走廊之间的所有非承重内墙，将其并入公共空间；3. 拆除 10.27㎡ 与 9.31㎡ 两个相邻房间之间的非承重分户墙，并将原 9.31㎡ 房间的入室门封闭，统一由 10.27㎡ 房间侧进入；4. 拆除 1.14㎡ 储藏间/卫浴区的非承重隔墙进行空间重组。
