image,edit_image,prompt
/share/home/202230550120/extracted_images_col20/edited_image_3237679.png,/share/home/202230550120/extracted_images_col6/edited_image_3237679.png,1. 拆除厨房与客厅之间的非承重隔墙，将封闭式厨房改为开放式。 2. 拆除客厅与南向阳台之间的玻璃移门，并封堵阳台两侧多余的转角位。 3. 拆除女孩房（左下）与客厅相连的非承重墙体，改为半开放式或全通透玻璃隔断。 4. 在玄关入口处新建一段L型矮墙或格栅，并利用入户走廊空间嵌入壁挂式宠物清洗/收纳区。
/share/home/202230550120/extracted_images_col20/edited_image_3707839.png,/share/home/202230550120/extracted_images_col6/edited_image_3707839.png,1. 拆除进门处小房间（玄关左侧）与客厅之间的非承重隔墙，将其并入公共区域； 2. 拆除中心区域走廊两侧的非承重墙体，将封闭式厨房改为LDK一体化开放式布局； 3. 将户型上半部分的两间次卧进行墙体重构，合并为一套带有独立衣帽间和超大卫浴系统的顶级主卧套房； 4. 封闭原有的零散门洞，将南向阳台与大客厅之间的移门拆除，实现地面通铺平滑过渡。
/share/home/202230550120/extracted_images_col20/edited_image_3801471.png,/share/home/202230550120/extracted_images_col6/edited_image_3801471.png,1. 拆除主卧与中间次卧之间的非承重隔墙，将两室合并为大套间。 2. 拆除客厅与阳台之间的移门及部分非承重垛子，实现客阳一体化。 3. 在玄关进入客厅的转角处增设 L 型低矮隔断墙，并在厨房入口处新建玻璃移门框架。 4. 将卫生间门洞向走道方向平移，腾挪出独立的家政柜/宠物洗护区空间。
/share/home/202230550120/extracted_images_col20/edited_image_4090210.png,/share/home/202230550120/extracted_images_col6/edited_image_4090210.png,1. 拆除厨房与客厅之间的斜向隔墙，将封闭式厨房改为开放式/半开放式。 2. 拆除大女儿房与小女儿房之间的非承重隔墙，并将原小女儿房的房门洞口封堵。 3. 扩大卫生间的门洞位置并向客厅方向延伸新建隔墙，建立独立的干湿分离区域。 4. 拆除两个阳台之间的玻璃隔断，将不规则阳台区域整合为一体化的大景观阳台。
/share/home/202230550120/extracted_images_col20/edited_image_4111984.png,/share/home/202230550120/extracted_images_col6/edited_image_4111984.png,1. 拆除进门处右侧的小型隔断墙与封闭门洞，将该区域并入公区。 2. 拆除厨房与餐厅之间的非承重隔断墙，改造成开放式布局，并向内微调厨房入口。 3. 封堵主卧原始门洞，在走廊尽头新建门洞，将南向卧室与临近卫浴间整合为独立大套房。 4. 拆除并移动次卧与公卫之间的非承重墙，优化公卫干湿分离布局。 5. 扩宽通往南侧超大露台的门洞，安装全景折叠门或推拉门。
/share/home/202230550120/extracted_images_col20/edited_image_4123439.png,/share/home/202230550120/extracted_images_col6/edited_image_4123439.png,1. 拆除进门右侧厨房与玄关之间的非承重墙体，将封闭式厨房改为开放式。 2. 拆除走道尽头次卧的非承重隔墙并向内微调，新建墙体以整合出独立的家政柜空间。 3. 将主卧门洞向走道方向外移，利用过道冗余空间新建嵌入式衣帽柜墙体。 4. 拆除北侧小房间与公卫之间的部分非承重墙，扩大公卫洗漱区并实现彻底的干湿分离。
/share/home/202230550120/extracted_images_col20/edited_image_4129959.png,/share/home/202230550120/extracted_images_col6/edited_image_4129959.png,1. 拆除厨房与客厅之间的隔墙，将封闭式厨房改造为带有中岛台的开放式/半开放式空间。  2. 拆除公卫门厅处的多余隔断，将洗手台外置，实现彻底的干湿分离。  3. 扩大部分卧室门洞并优化走廊宽度，确保三代同堂家庭在过道错身时不显拥挤。  4. 封堵主卧原始门洞，从客厅走廊尽头重新开门，并将紧邻主卧的小卫生间划归为主卧套间内部使用。
/share/home/202230550120/extracted_images_col20/edited_image_4142540.png,/share/home/202230550120/extracted_images_col6/edited_image_4142540.png,1. 拆除厨房与客厅之间的非承重隔墙，改为开放式或半开放式厨房。 2. 拆除次卧左侧的小隔间（储藏室/杂物间）墙体，并平移次卧入门位置。 3. 在客厅长轴方向通过轻质隔墙新建一个独立的多功能房/老人房。 4. 封闭次卧右侧原有的阳台门，将其改造为室内套内空间。 5. 调整主卧入门方向，利用主卧门口外部空间形成独立的玄关或家政区。
/share/home/202230550120/extracted_images_col20/edited_image_4207294.png,/share/home/202230550120/extracted_images_col6/edited_image_4207294.png,1. 将北侧中心卧室的入门方向向右平移，利用长过道新建一组嵌入式通顶柜。 2. 拆除东南角小房间与长形大厅之间的隔墙，将其改造为带移门的半开放式多功能房（书房或客卧）。 3. 封闭原西南侧大厅的部分采光面，在入户正对位置新建玄关隔断。 4. 在公卫区域向外扩容，拆除部分非承重墙，实现彻底的干湿分离。 5. 扩大最北侧（凸出部）卧室的门洞，改为双开门或大推拉门。
/share/home/202230550120/extracted_images_col20/edited_image_4232962.png,/share/home/202230550120/extracted_images_col6/edited_image_4232962.png,1. 拆除进门南侧（下方）以及北侧（中部）非承重隔墙，将原本零碎的封闭房间并入客厅。 2. 拆除东北角两个相邻小房间之间的隔墙，并封堵通往走廊的一个门洞。 3. 将原北向中间房间的墙体向北移动并改为透明玻璃推拉门，整合为多功能开放空间。 4. 封闭原主卧（东南角）南侧的非承重墙体，将其与南向阳台打通。
